i5_1	i5_2	i5_3	i5_4	i5_5	i5_6	i5_7	i5_8	i5_9	i5_10	i5_11	i5_12	i5_13	i5_14	i5_15	i5_16	i5_17	i5_18	i5_19	i5_20	i6_1	i6_2	i6_3	i6_4	i6_5	i6_6	i6_7	i6_8	i6_9	i6_10	i6_11	i6_12	i6_13	i6_14	i6_15	i6_16	i6_17	i6_18	i6_19	i6_20	i6_21	i6_22	i7_2	i7_3	i7_4	i7_6	i7_7	i7_8	i7_9	i7_10	i7_11	i7_12	i7_14	i7_15	i7_16	i7_17	i7_19	i7_20	i7_21	i7_22	i7_24	i7_25	i7_26	i7_27	i7_28	i7_29	i7_30	i7_31	i8	i9	i10_1	i10_2	i10_3	i10_4	i10_5	i10_6	i10_7	i10_8	i10_9	i10_10	i10_11	i10_12	i10_13	i11a	i11b	i13_1	i13_2	i13_3	i13_4	i13_5	i13_6	i13_7	i13_8	i13_9	i13_10	i13_11	i13_12	i16_7	i16_9	i16_12	i16_13	i16_14	i16_15	i16_16	i16_17	i16_18	i16_19	i16_20	i16_21	i16b	i17	i23	i23b	i24_1	i24_2	i24_3	i24_4	i24_5	i24_6	i24_7	i24_8	i24_10	i24_11	i24_12	i24_13	i24_14	i24_15	i24b_1	i24b_2	i24b_3	i24c	i24d	i24e_1	i24e_2	i24e_3	i24e_4	i24e_5	i24e_6	i24f	i24g	i24h	i24i_1	i24i_2	i24i_3	i24i_4	i24i_5	i24i_6	i24j	rs1	age	pcsp	pcsip	rs102	rs182	rs14	rs15	regsof	habp	aire	reginria	score	poids
1	1	5	4	1	1	1	1	2	1	5	2	5	1	1	2	5	1	2	3	1	1	1	1	1	1	1	2	2	2	5	2	1	2	2	2	4	4	2	5	1	2	1	2	6	2	2	2	2	2	3	2	3	3	2	1	2	2	2	2	3	2	6	2	3	2	2	1	3	3	2	3	3	2	2	3	3	3	3	3	3	2	3	3	1	2	4	3	2	2	2	3	2	5	3	2	3	5	3	2	3	3	2	3	2	4	4	2	5	4	2	2	2	2	2	5	2	5	5	5	5	5	1	5	5	5	2	2	3	5	2	2	1	2	5	5	3	2	3	1	2	6	6	6	3	6	6	3	2	1	6	6	2	4	2	3	7	5	1	1	4	0,48182
2	2	2	1	2	1	1	1	1	2	5	2	2	2	4	1	3	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	4	4	3	3	2	2	2	4	2	3	4	2	2	3	2	2	2	3	3	3	2	4	3	4	3	1	1	2	3	2	3	2	3	3	4	4	3	3	1	3	3	3	2	3	2	2	4	2	2	3	3	4	2	4	4	4	3	3	4	2	3	3	4	2	3	3	4	5	2	2	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1	1	7	6	3	12	1	4	4	4	1	1	4	0,665057
1	1	2	2	2	1	1	1	1	2	3	2	2	3	2	2	3	1	1	3	1	1	1	1	1	1	1	2	1	1	5	2	1	1	5	1	5	5	1	5	2	2	2	5	2	2	5	2	3	2	5	2	5	3	2	2	2	2	3	2	5	5	2	2	2	5	5	2	3	1	2	3	2	3	2	3	3	3	2	2	3	2	3	1	1	2	2	1	1	2	2	2	2	3	2	2	3	4	5	4	5	4	5	3	3	4	3	3	3	4	5	3	3	1	2	2	2	2	2	5	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	5	2	2	2	2	2	2	2	2	2	2	2	6	2	1	6	5	2	4	2	3	2	1	1	0	4	0,636863
1	1	2	3	3	1	3	2	3	2	3	2	1	2	3	2	3	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	1	2	3	5	1	2	2	1	1	2	2	2	2	1	2	2	2	3	1	2	3	2	3	2	2	3	3	2	3	3	2	3	3	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	2	4	2	4	3	2	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	5	2	3	3	2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	4	2	1	6	7	4	3	2	6	1	1	3	0	4	0,612544
1	2	2	3	3	1	1	2	4	2	2	2	1	3	2	3	3	1	3	2	1	1	2	1	2	3	7	2	2	1	2	2	1	1	2	1	3	3	1	1	2	2	1	2	3	3	2	2	3	2	2	1	3	4	2	2	2	3	3	2	3	2	3	4	3	3	3	2	3	3	2	3	3	3	1	2	3	3	3	2	3	2	2	3	3	1	2	4	4	3	1	1	2	2	2	3	3	4	3	4	2	3	4	3	2	2	3	3	3	4	2	3	3	1	1	3	2	1	1	2	2	2	3	1	2	2	2	2	2	2	2	5	2	2	2	2	3	2	3	2	3	3	2	2	3	3	3	2	1	1	7	6	3	12	1	4	1	1	3	0	3	0,524338
1	1	3	2	3	2	5	1	1	2	5	2	3	3	1	1	2	1	1	2	1	1	1	1	1	2	4	3	2	2	2	3	1	2	1	3	4	3	2	3	1	1	1	3	6	1	2	1	2	1	3	2	4	3	2	1	3	2	2	1	6	6	2	3	1	3	2	1	3	1	5	4	2	3	2	4	4	4	1	3	4	2	4	1	1	4	2	1	1	4	3	2	3	2	3	1	4	2	3	2	2	4	4	1	1	2	1	1	4	4	2	4	4	1	1	1	1	2	1	3	3	2	2	2	1	3	2	3	2	3	1	5	4	1	4	4	4	2	3	4	5	3	3	3	3	3	3	3	2	1	5	5	2	7	2	7	4	4	1	1	3	0,551301
1	1	3	2	1	1	1	1	1	3	3	1	2	3	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	3	1	3	3	1	4	1	1	1	1	1	1	1	1	5	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	3	2	2	1	2	1	2	2	2	2	2	2	1	3	3	2	1	2	2	2	2	2	2	1	1	2	2	2	3	3	4	3	3	2	3	1	2	2	3	3	4	2	2	3	1	1	2	2	2	2	2	3	1	2	2	2	2	4	2	4	2	2	2	1	1	2	3	4	2	3	2	2	2	2	2	2	2	2	3	1	1	4	4	2	11	2	4	7	5	1	1	4	0,544938
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	3	3	1	1	1	3	5	1	5	3	1	3	3	3	3	3	3	3	3	3	2	5	5	5	5	2	5	2	5	2	5	5	2	2	5	2	2	2	2	2	5	5	2	5	2	2	3	3	3	3	3	2	3	2	3	3	3	4	3	2	3	3	3	3	3	3	3	3	2	2	3	3	2	2	3	4	4	4	2	4	2	2	1	1	2	2	2	4	2	4	4	2	2	2	2	2	2	5	5	2	3	2	2	5	2	2	2	2	3	5	2	1	3	3	2	3	5	3	3	3	3	3	3	6	6	3	1	1	6	6	1	2	1	4	1	1	1	1	3	0,590299
1	2	2	5	2	5	2	2	5	2	5	2	3	6	2	5	5	2	2	6	1	2	3	3	2	3	3	3	3	2	3	3	3	3	3	3	4	3	3	3	3	3	5	5	5	5	5	3	5	5	5	5	5	3	5	6	6	5	5	5	5	5	2	5	5	5	5	5	3	3	2	3	3	3	2	3	2	3	4	3	4	3	4	1	1	3	3	3	3	3	3	3	3	3	3	3	3	5	5	5	5	5	2	5	5	5	2	2	5	4	5	4	4	1	2	1	2	2	2	3	5	2	4	1	2	5	3	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	7	7	3	5	1	2	4	2	1	1	2	0,492132
1	1	3	1	1	1	1	1	2	1	3	1	2	2	5	2	1	1	1	1	1	1	1	2	1	3	1	1	2	3	2	3	1	3	3	2	4	3	3	5	2	2	1	3	2	3	3	5	2	1	2	3	5	4	2	2	3	2	2	5	2	2	5	2	2	2	5	2	2	3	3	2	2	2	2	3	4	3	3	2	3	1	4	1	1	3	3	3	3	2	2	3	3	2	3	3	2	4	4	3	3	3	3	3	1	4	4	3	4	4	5	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	1	1	5	5	2	6	1	4	4	2	1	1	3	0,378862
1	2	4	4	2	2	2	2	2	3	6	2	4	4	2	1	1	2	2	2	1	1	2	1	1	6	6	3	1	2	1	2	1	2	1	2	4	6	6	1	1	2	2	1	3	1	3	1	1	1	3	1	3	2	1	1	2	2	5	1	3	2	5	4	1	2	1	1	3	3	2	4	1	1	2	3	2	4	2	3	4	1	4	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	3	1	4	3	4	4	4	2	4	4	1	1	3	3	5	1	2	4	1	3	1	4	4	1	1	1	2	2	5	5	5	5	5	5	5	3	1	3	2	2	2	3	2	5	4	2	1	6	7	4	2	1	3	5	4	3	0	3	3,691491
1	2	2	3	6	2	1	2	6	3	4	3	1	1	3	2	4	1	2	3	5	5	5	5	5	5	6	5	5	1	5	5	5	5	5	5	5	5	5	5	5	5	2	4	6	6	5	4	5	2	4	2	3	4	6	2	3	6	6	6	6	6	6	6	6	2	5	6	4	2	5	2	3	5	2	2	4	2	4	4	3	1	3	3	3	2	2	1	1	2	2	1	2	4	4	2	2	4	4	5	1	4	4	4	2	2	1	2	4	4	1	3	3	1	1	2	2	5	1	5	2	2	4	2	1	5	5	2	1	1	2	5	2	1	3	5	3	3	5	4	5	6	6	6	6	6	6	6	2	1	6	5	2	11	2	3	2	1	1	1	1	0,636863
1	2	2	3	2	5	1	1	3	2	4	3	1	3	2	1	2	1	1	1	2	1	1	1	2	2	1	2	3	3	1	3	2	3	3	3	3	5	3	3	2	1	1	5	3	5	2	3	5	1	3	2	3	4	1	1	3	1	3	2	3	3	3	1	3	2	5	2	1	1	2	4	1	3	2	3	4	4	2	2	4	1	3	1	1	2	1	1	4	2	1	4	3	1	3	1	4	4	3	4	1	4	1	1	1	4	3	2	3	4	2	2	1	2	1	1	2	2	1	2	4	3	3	1	3	3	2	3	3	1	1	1	1	1	3	2	1	1	3	1	1	3	2	2	2	3	2	2	1	1	6	6	3	12	1	4	6	4	1	0	3	0,332291
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	2	2	2	2	2	1	2	7	2	2	6	2	6	2	1	7	6	1	2	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	3	4	3	3	3	5	3	3	3	4	3	3	3	3	3	4	1	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	5	4	5	5	5	2	3	4	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	2	2	5	5	5	5	6	3	5	6	6	6	4	6	6	6	1	1	6	6	2	3	2	3	3	2	2	0	2	0,500365
1	1	2	3	3	1	1	1	3	2	3	1	2	2	2	1	3	1	1	1	2	1	1	2	2	2	3	2	2	1	3	2	2	1	3	2	3	3	2	3	1	2	1	3	2	2	3	2	5	1	3	1	3	4	2	2	3	2	5	2	5	2	2	5	6	2	5	2	3	3	3	4	3	2	4	3	4	4	4	4	4	2	4	3	1	4	4	2	4	1	2	4	2	1	4	2	1	4	4	4	2	1	3	4	2	4	3	1	4	4	3	4	4	1	1	2	1	2	2	2	3	3	3	2	3	5	2	2	3	3	2	5	1	1	3	4	3	1	5	4	4	3	5	2	3	3	5	4	2	1	7	7	2	1	1	5	2	4	1	1	3	0,290213
1	1	1	3	2	2	1	1	2	2	3	2	2	2	1	2	3	1	1	2	1	1	1	1	1	2	1	2	2	1	2	5	1	2	2	2	3	5	1	2	1	1	1	2	2	2	5	2	2	1	2	1	3	3	5	2	2	2	2	5	2	1	2	2	2	2	2	2	1	1	2	4	1	4	1	4	4	4	2	1	3	2	3	1	1	2	3	2	1	1	2	2	1	2	2	1	2	2	3	1	1	3	1	2	1	3	2	2	3	2	2	1	1	2	1	1	2	2	1	2	3	2	2	2	1	3	2	3	2	2	1	1	1	1	2	3	3	5	3	2	2	2	5	2	2	2	2	5	1	1	7	7	2	2	2	7	2	4	1	1	4	0,279674
2	2	2	2	1	1	1	1	3	2	5	3	4	3	1	2	3	1	1	3	1	1	2	2	3	1	1	5	2	1	5	3	1	2	5	2	5	5	1	5	2	2	2	3	3	5	1	2	2	2	5	2	5	4	2	2	3	2	2	1	2	2	2	3	5	3	5	2	2	2	3	1	4	2	3	2	2	3	3	4	3	1	2	3	3	3	1	2	1	2	2	1	3	4	4	3	4	4	4	4	4	4	3	4	3	4	3	3	4	4	2	3	3	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	4	4	3	2	5	3	3	3	2	2	3	2	3	1	2	1	6	6	2	2	4	3	6	4	2	1	3	0,344813
2	3	3	3	2	2	1	1	3	3	3	3	2	3	3	1	2	1	1	3	1	1	1	2	5	2	5	3	2	2	5	4	3	1	5	2	4	5	2	5	3	1	2	4	5	2	5	2	6	2	3	6	5	3	2	2	4	2	3	5	5	2	6	2	3	2	3	6	3	3	2	4	5	4	2	3	3	4	1	4	1	2	4	3	3	4	4	1	4	4	4	2	4	1	4	4	3	3	4	3	3	3	4	4	4	3	4	4	3	4	5	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	3	3	3	3	3	3	3	3	3	3	3	6	6	6	6	6	6	4	2	1	6	7	3	11	1	4	3	4	2	1	2	0,598608
1	4	1	3	2	1	1	1	2	1	5	1	1	4	4	1	2	1	1	2	1	2	2	2	1	2	5	2	2	2	2	2	2	3	3	2	4	5	2	1	1	2	2	4	4	5	2	4	3	2	3	2	4	4	2	2	4	1	3	3	3	4	2	2	2	6	4	3	2	3	1	3	2	2	2	2	3	2	1	2	2	1	2	2	3	1	1	1	2	1	2	1	3	2	3	1	2	3	4	3	3	4	4	1	1	4	1	2	4	4	2	1	3	2	2	2	1	2	2	2	4	3	2	1	2	4	2	2	1	3	1	2	1	1	2	2	3	2	2	4	3	2	2	5	3	3	2	2	1	1	6	5	2	7	1	6	6	1	1	1	3	0,448428
1	2	2	3	2	2	1	1	2	2	2	2	2	2	4	1	2	1	2	2	1	2	2	1	2	2	1	3	2	1	1	2	2	2	2	2	3	2	1	2	3	3	2	2	2	2	2	2	1	2	5	1	3	3	1	6	3	2	2	2	1	2	3	1	2	2	2	2	1	3	2	2	3	1	2	4	4	4	4	2	4	2	4	3	1	1	2	4	1	2	1	1	2	4	1	3	2	1	4	4	1	2	2	2	1	3	3	2	4	4	3	1	2	1	2	2	1	5	2	5	1	2	2	5	3	5	5	2	3	5	1	5	1	1	2	4	4	2	5	3	3	3	3	3	3	3	2	1	1	1	3	4	5	11	2	6	6	1	3	0	4	0,456613
