DOMINIALITE	ARRONDISSEMENT	ESPECE	CROISSANCE
Alignement	PARIS 20E ARRDT	Poirier à fleurs	28,57
Alignement	PARIS 11E ARRDT	Tilleul	41,67
Alignement	PARIS 18E ARRDT	Cornouiller	8
Alignement	PARIS 18E ARRDT	Tilleul	25,93
Alignement	PARIS 13E ARRDT	Peuplier	10,67
Alignement	PARIS 18E ARRDT	Robinier	8,45
Alignement	PARIS 13E ARRDT	Marronnier	16
Alignement	PARIS 13E ARRDT	Frêne	50
Alignement	PARIS 16E ARRDT	Marronnier	25
Alignement	PARIS 16E ARRDT	Platane	20
Alignement	PARIS 1ER ARRDT	Peuplier	52,94
Alignement	PARIS 20E ARRDT	Chêne	90
Alignement	PARIS 13E ARRDT	Micocoulier	40
Alignement	PARIS 18E ARRDT	Platane	30,45
Alignement	PARIS 19E ARRDT	Palmier	19,23
Alignement	PARIS 15E ARRDT	Tilleul	21,82
Alignement	PARIS 12E ARRDT	Platane	50
Alignement	PARIS 20E ARRDT	Pommier à fleurs	125
Alignement	PARIS 16E ARRDT	Sophora	35,71
Alignement	PARIS 13E ARRDT	Tilleul	60,48
Alignement	PARIS 13E ARRDT	Tilleul	35,71
Alignement	PARIS 14E ARRDT	Cerisier à fleurs	26,47
Alignement	PARIS 14E ARRDT	Cerisier à grappes	19,12
Alignement	PARIS 14E ARRDT	Sophora	15
Alignement	PARIS 19E ARRDT	Sophora	50
Alignement	PARIS 17E ARRDT	Alisier	22,5
Alignement	PARIS 14E ARRDT	Sophora	14,74
Alignement	PARIS 16E ARRDT	Sophora	32,5
Alignement	PARIS 18E ARRDT	Tilleul	44,81
Alignement	PARIS 19E ARRDT	Platane	35
Alignement	PARIS 16E ARRDT	Ailante	11,61
Alignement	PARIS 8E ARRDT	Micocoulier	42,22
Alignement	PARIS 15E ARRDT	Platane	37,5
Alignement	PARIS 16E ARRDT	Platane	39,29
Alignement	PARIS 13E ARRDT	Tilleul	34,84
Alignement	PARIS 13E ARRDT	Tilleul	18
Alignement	BOIS DE BOULOGNE	Erable	38,57
Alignement	PARIS 3E ARRDT	Micocoulier	43,08
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	15,35
Alignement	PARIS 11E ARRDT	Platane	40
Alignement	PARIS 4E ARRDT	Platane	62,5
Alignement	PARIS 13E ARRDT	Tulipier	42,11
Alignement	PARIS 19E ARRDT	Platane	35
Alignement	PARIS 3E ARRDT	Micocoulier	41,36
Alignement	PARIS 7E ARRDT	Platane	8,82
Alignement	PARIS 6E ARRDT	Platane	31,58
Alignement	PARIS 11E ARRDT	Sophora	32,5
Alignement	PARIS 9E ARRDT	Chêne	45
Alignement	PARIS 20E ARRDT	Tilleul	60
Alignement	PARIS 19E ARRDT	Micocoulier	56,9
Alignement	PARIS 18E ARRDT	Erable	50
Alignement	PARIS 9E ARRDT	Platane	72
Alignement	PARIS 13E ARRDT	Marronnier	35,19
Alignement	PARIS 13E ARRDT	Charme	28,8
Alignement	PARIS 6E ARRDT	Platane	34,21
Alignement	PARIS 17E ARRDT	Chêne	51,2
Alignement	PARIS 13E ARRDT	Tilleul	60
Alignement	PARIS 8E ARRDT	Marronnier	104,28
Alignement	PARIS 13E ARRDT	Platane	46,67
Alignement	PARIS 10E ARRDT	Peuplier	45
Alignement	PARIS 14E ARRDT	Copalme	100
Alignement	BOIS DE BOULOGNE	Marronnier	32,94
